Island,DAR_Code,USGSstationID,year,CV,Q5,Q95,Q90,Q10,Q50,mean hycom,CV hycom,IslandHYCOMCV,N otos,Swprop.constrained,Swprop,constrained
Kauai,24004,16010000,nine,2.242066663,109.9,2.8,3.4,58,10,2.7,0.17,0.241335107,13,0.38,0.38,1
Kauai,21014,16108000,nine,1.247836139,341.9,42,46,217,72,1,0.11,0.241335107,8,,0.38,0
Oahu,33007,16240500,nine,1.368141831,10,1.3,1.5,6.7,2.9,5.79,0.25,0.196602492,19,,0.37,0
Oahu,32007,16284200,nine,0.922476572,10,4.2,4.5,8.2,5.3,0.48,0.1,0.196602492,7,0.14,0.14,1
Oahu,32002,16294900,nine,1.5753,26.9,4.7,5.2,17,7.6,1.14,0.12,0.196602492,14,0.5,0.5,1
Oahu,31013,16304200,nine,3.150811707,22,0.121,0.23,9.78,1.2,,,0.196602492,1,,,
Oahu,36010,16330000,nine,3.632991808,65.9,0.01,0.06,31,2.8,2.53,0.1,0.196602492,2,,,
Molokai,41021,16400000,nine,1.902659381,100,3.51,4.2,58,11,3.18,0.12,0.07242163,18,0.33,0.33,1
Maui,62009,16604500,nine,1.521515023,203,15,16,122,30,0.63,0.18,0.044803271,6,0.33,0.33,1
Maui,62007,16614000,nine,0.849434084,121,32,33,88,44,1.33,0.2,0.044803271,11,0.36,0.36,1
Maui,62003,16618000,nine,2.292583075,62,3.8,4.1,30,6.8,,,0.044803271,2,,,
Maui,61011,16620000,nine,1.446151469,101,11,11,62.8,18,2.99,0.14,0.044803271,7,0.29,0.29,1
Hawaii,82056,16717000,nine,2.644124424,389.9,7.7,9.7,190.8,32,0.17,0.17,0.127275852,14,0.43,0.43,1
Oahu,31018,16296500,nine,1.707900231,102,15,16,59,22,2.68,0.15,0.196602492,13,0.54,0.54,1
Oahu,32004,16294100,nine,1.194519789,68.9,17,19,54,31,,,0.196602492,12,0.33,0.33,1
Kauai,24004,16010000,eleven,2.242066663,109.9,2.8,3.4,58,10,2.7,0.17,0.241335107,9,0.111111111,0.111111111,1
Kauai,21014,16108000,eleven,1.247836139,341.9,42,46,217,72,1,0.11,0.241335107,2,,,
Oahu,33007,16240500,eleven,1.368141831,10,1.3,1.5,6.7,2.9,5.79,0.25,0.196602492,0,,,
Oahu,32007,16284200,eleven,0.922476572,10,4.2,4.5,8.2,5.3,0.48,0.1,0.196602492,13,0.076923077,0.076923077,1
Oahu,32002,16294900,eleven,1.5753,26.9,4.7,5.2,17,7.6,1.14,0.12,0.196602492,13,0,0,1
Oahu,31013,16304200,eleven,3.150811707,22,0.121,0.23,9.78,1.2,,,0.196602492,12,,0.25,0
Oahu,36010,16330000,eleven,3.632991808,65.9,0.01,0.06,31,2.8,2.53,0.1,0.196602492,2,,,
Molokai,41021,16400000,eleven,1.902659381,100,3.51,4.2,58,11,3.18,0.12,0.07242163,12,0.25,0.25,1
Maui,62009,16604500,eleven,1.521515023,203,15,16,122,30,0.63,0.18,0.044803271,7,0.142857143,0.142857143,1
Maui,62007,16614000,eleven,0.849434084,121,32,33,88,44,1.33,0.2,0.044803271,9,0.111111111,0.111111111,1
Maui,62003,16618000,eleven,2.292583075,62,3.8,4.1,30,6.8,,,0.044803271,4,,,
Maui,61011,16620000,eleven,1.446151469,101,11,11,62.8,18,2.99,0.14,0.044803271,8,0,0,1
Hawaii,82056,16717000,eleven,2.644124424,389.9,7.7,9.7,190.8,32,0.17,0.17,0.127275852,7,0.428571429,0.428571429,1
Oahu,31018,16296500,eleven,1.707900231,102,15,16,59,22,2.68,0.15,0.196602492,10,0.5,0.5,1
Oahu,32004,16294100,eleven,1.194519789,68.9,17,19,54,31,,,0.196602492,11,0.18,0.18,1
